"id","reel_number","name","uid","tid","epc","axis_surface","status","reserved"
"1446","D1000X121","441000B121",NULL,"E2801170200012EEFAD50B5F","35412204000000441000B121","B",NULL,NULL
"1447","D1000X122","441000B122",NULL,"E2801170200004DEFAD70B5F","35412204000000441000B122","B",NULL,NULL
"1448","D1000X122","441000B122",NULL,"E28011702000047EFAD70B5F","35412204000000441000B122","B",NULL,NULL
"1449","D1000X123","441000B123",NULL,"E28011702000146EFAD70B5F","35412204000000441000B123","B",NULL,NULL
"1450","D1000X123","441000B123",NULL,"E2801170200014CEFAD70B5F","35412204000000441000B123","B",NULL,NULL
"1451","D1000X124","441000B124",NULL,"E28011702000105EFADC0B5F","35412204000000441000B124","B",NULL,NULL
"1452","D1000X124","441000B124",NULL,"E2801170200014FEFAD70B5F","35412204000000441000B124","B",NULL,NULL
"1453","D1000X125","441000B125",NULL,"E2801170200004EEFAD70B5F","35412204000000441000B125","B",NULL,NULL
"1454","D1000X125","441000B125",NULL,"E28011702000004EFADC0B5F","35412204000000441000B125","B",NULL,NULL
"1455","D1000X126","441000B126",NULL,"E2801170200000BEFADC0B5F","35412204000000441000B126","B",NULL,NULL
"1456","D1000X126","441000B126",NULL,"E2801170200010D8FA930B5F","35412204000000441000B126","B",NULL,NULL
"1457","D1000X127","441000B127",NULL,"E28011702000106EFADC0B5F","35412204000000441000B127","B",NULL,NULL
"1458","D1000X127","441000B127",NULL,"E280117020001048FA930B5F","35412204000000441000B127","B",NULL,NULL
"1459","D1000X128","441000B128",NULL,"E28011702000023EFADF0B5F","35412204000000441000B128","B",NULL,NULL
"1460","D1000X128","441000B128",NULL,"E2801170200000DEFADC0B5F","35412204000000441000B128","B",NULL,NULL
"1461","D1000X129","441000B129",NULL,"E28011702000124EFADF0B5F","35412204000000441000B129","B",NULL,NULL
"1462","D1000X129","441000B129",NULL,"E2801170200000EEFADC0B5F","35412204000000441000B129","B",NULL,NULL
"1463","D1000X130","441000B130",NULL,"E2801170200012BEFADF0B5F","35412204000000441000B130","B",NULL,NULL
"1464","D1000X130","441000B130",NULL,"E28011702000025EFADF0B5F","35412204000000441000B130","B",NULL,NULL
"1465","D1000X131","441000B131",NULL,"E2801170200002CEFADF0B5F","35412204000000441000B131","B",NULL,NULL
"1466","D1000X131","441000B131",NULL,"E28011702000026EFADF0B5F","35412204000000441000B131","B",NULL,NULL
